nirf_id,program_level,intake_year,first_year_intake,first_year_admitted,lateral_entry_year,lateral_entry_count,graduating_year,graduating_min_time,students_placed,median_salary,students_higher_studies
IR-E-C-16463,UG,2020-21,780,281,2021-22,106,2023-24,323,300,400000,20
IR-E-C-16463,PG,2020-21,72,7,,,2021-22,7,7,350000,0
IR-E-C-16463,PG,2021-22,63,10,,,2022-23,10,10,350000,0
IR-E-C-16463,PG,2022-23,63,14,,,2023-24,12,12,400000,0
IR-E-C-45295,UG,2017-18,420,321,2018-19,12,2020-21,333,110,300000,12
IR-E-C-45295,UG,2018-19,420,170,2019-20,6,2021-22,158,87,270000,12
IR-E-C-45295,UG,2019-20,300,211,2020-21,20,2022-23,189,178,300000,9
IR-E-C-45295,PG,2019-20,24,24,,,2020-21,24,24,450000,0
IR-E-C-45295,PG,2020-21,24,20,,,2021-22,20,20,480000,0
IR-E-C-45295,PG,2021-22,24,21,,,2022-23,21,21,450000,0
IR-E-C-45287,UG,2018-19,360,180,2019-20,5,2021-22,181,176,550000,5
IR-E-C-45287,UG,2019-20,300,250,2020-21,12,2022-23,255,251,575000,4
IR-E-C-45287,UG,2020-21,360,338,2021-22,24,2023-24,360,342,580000,18
IR-E-C-45287,PG,2020-21,18,7,,,2021-22,5,5,780000,0
IR-E-C-45287,PG,2021-22,18,15,,,2022-23,15,15,800000,0
IR-E-C-45287,PG,2022-23,18,15,,,2023-24,15,15,790000,0
IR-E-C-49130,UG,2018-19,300,106,2019-20,89,2021-22,195,170,300000,7
IR-E-C-49130,UG,2019-20,300,110,2020-21,89,2022-23,199,170,300000,29
IR-E-C-49130,UG,2020-21,300,140,2021-22,86,2023-24,160,116,300000,0
IR-E-C-45288,UG,2018-19,300,200,2019-20,19,2021-22,157,110,400000,4
IR-E-C-45288,UG,2019-20,300,153,2020-21,11,2022-23,107,106,400000,1
IR-E-C-45288,UG,2020-21,300,174,2021-22,84,2023-24,108,105,350000,3
IR-E-C-45299,UG,2018-19,600,441,2019-20,29,2021-22,431,397,335000,12
IR-E-C-45299,UG,2019-20,540,330,2020-21,49,2022-23,305,255,350000,8
IR-E-C-45299,UG,2020-21,540,310,2021-22,65,2023-24,211,201,350000,10
IR-E-C-45299,PG,2020-21,72,12,,,2021-22,11,8,375000,2
IR-E-C-45299,PG,2021-22,72,27,,,2022-23,13,1,350000,0
IR-E-C-45299,PG,2022-23,72,5,,,2023-24,3,3,350000,0
IR-E-C-16548,UG,2018-19,510,69,2019-20,17,2021-22,73,63,180000,4
IR-E-C-16548,UG,2019-20,300,40,2020-21,2,2022-23,30,22,144000,5
IR-E-C-16548,UG,2020-21,270,22,2021-22,37,2023-24,34,13,240000,2
IR-E-C-16548,PG,2020-21,18,0,,,2021-22,0,0,0,0
IR-E-C-16548,PG,2021-22,18,0,,,2022-23,0,0,0,0
IR-E-C-16548,PG,2022-23,18,2,,,2023-24,2,0,0,0
IR-E-C-48266,UG,2018-19,360,230,2019-20,12,2021-22,197,151,326000,23
IR-E-C-48266,UG,2019-20,480,251,2020-21,9,2022-23,191,175,400000,4
IR-E-C-48266,UG,2020-21,480,203,2021-22,55,2023-24,167,135,850000,6
IR-E-C-49129,UG,2018-19,300,86,2019-20,13,2021-22,41,41,360000,0
IR-E-C-49129,UG,2019-20,300,36,2020-21,6,2022-23,14,14,400000,0
IR-E-C-49129,UG,2020-21,285,184,2021-22,29,2023-24,102,100,700000,1
IR-E-C-49133,UG,2018-19,300,242,2019-20,44,2021-22,262,190,400000,9
IR-E-C-49133,UG,2019-20,300,244,2020-21,32,2022-23,212,93,360000,11
IR-E-C-49133,UG,2020-21,300,257,2021-22,67,2023-24,204,89,300000,12
IR-E-C-50605,UG,2018-19,300,285,2019-20,49,2021-22,320,273,500000,20
IR-E-C-50605,UG,2019-20,300,271,2020-21,51,2022-23,300,264,750000,11
IR-E-C-50605,UG,2020-21,300,253,2021-22,55,2023-24,291,247,700000,32
IR-E-C-50605,PG,2020-21,0,0,,,2021-22,0,0,0,0
IR-E-C-50605,PG,2021-22,0,0,,,2022-23,0,0,0,0
IR-E-C-50605,PG,2022-23,24,9,,,2023-24,7,4,400000,2
IR-E-C-16504,UG,2018-19,1020,842,2019-20,142,2021-22,967,882,497000,84
IR-E-C-16504,UG,2019-20,780,661,2020-21,154,2022-23,792,631,517000,70
IR-E-C-16504,UG,2020-21,900,805,2021-22,170,2023-24,921,819,480000,54
IR-E-C-16504,PG,2020-21,108,56,,,2021-22,56,51,489000,2
IR-E-C-16504,PG,2021-22,72,56,,,2022-23,56,39,461000,0
IR-E-C-16504,PG,2022-23,72,61,,,2023-24,61,54,450000,2
IR-E-C-37003,UG,2015-16,200,205,2016-17,39,2018-19,151,73,350000,7
IR-E-C-37003,UG,2016-17,240,198,2017-18,37,2019-20,134,46,350000,2
IR-E-C-37003,UG,2017-18,240,203,2018-19,34,2020-21,202,42,400000,3
IR-E-C-37003,PG,2017-18,54,5,,,2018-19,5,2,350000,0
IR-E-C-37003,PG,2018-19,54,18,,,2019-20,17,0,0,0
IR-E-C-37003,PG,2019-20,54,7,,,2020-21,7,0,0,0
IR-E-C-39247,UG,2019-20,960,599,2020-21,126,2022-23,705,372,300000,23
IR-E-C-39247,UG,2020-21,1020,685,2021-22,230,2023-24,867,427,300000,20
IR-E-C-39247,UG,2021-22,900,811,2022-23,117,2024-25,845,758,525000,31
IR-E-C-39247,PG,2021-22,72,63,,,2022-23,63,51,365000,0
IR-E-C-39247,PG,2022-23,90,66,,,2023-24,66,61,425000,0
IR-E-C-39247,PG,2023-24,84,64,,,2024-25,52,51,400000,1
IR-E-C-37000,UG,2018-19,1140,762,2019-20,71,2021-22,714,685,240000,25
IR-E-C-37000,UG,2019-20,1140,991,2020-21,53,2022-23,795,760,320000,33
IR-E-C-37000,UG,2020-21,1140,807,2021-22,108,2023-24,744,686,425000,53
IR-E-C-37000,PG,2020-21,108,73,,,2021-22,48,38,280000,0
IR-E-C-37000,PG,2021-22,228,42,,,2022-23,24,20,320000,0
IR-E-C-37000,PG,2022-23,72,39,,,2023-24,16,6,500000,0
IR-E-C-16490,UG,2018-19,720,359,2019-20,12,2021-22,361,333,450000,21
IR-E-C-16490,UG,2019-20,720,613,2020-21,17,2022-23,602,519,475000,32
IR-E-C-16490,UG,2020-21,720,499,2021-22,76,2023-24,550,422,400000,30
IR-E-C-16490,PG,2020-21,27,1,,,2021-22,1,1,550000,0
IR-E-C-16490,PG,2021-22,27,19,,,2022-23,19,16,600000,3
IR-E-C-16490,PG,2022-23,21,13,,,2023-24,13,8,600000,2
IR-E-C-46528,UG,2018-19,600,554,2019-20,60,2021-22,500,309,450000,166
