nirf_id,program_level,intake_year,first_year_intake,first_year_admitted,lateral_entry_year,lateral_entry_count,graduating_year,graduating_min_time,students_placed,median_salary,students_higher_studies
IR-E-C-36951,UG,2018-19,360,99,2019-20,6,2021-22,100,96,240000,2
IR-E-C-36951,UG,2019-20,300,72,2020-21,32,2022-23,98,96,264000,2
IR-E-C-36951,UG,2020-21,240,127,2021-22,82,2023-24,161,155,240000,6
IR-E-C-36951,PG,2020-21,36,4,,,2021-22,4,4,240000,0
IR-E-C-36951,PG,2021-22,24,13,,,2022-23,12,12,240000,0
IR-E-C-36951,PG,2022-23,24,5,,,2023-24,5,4,240000,1
IR-E-C-37058,UG,2018-19,660,350,2019-20,52,2021-22,337,312,365540,18
IR-E-C-37058,UG,2019-20,540,325,2020-21,71,2022-23,313,308,325000,5
IR-E-C-37058,UG,2020-21,660,452,2021-22,146,2023-24,554,478,360000,8
IR-E-C-37058,PG,2020-21,198,111,,,2021-22,103,42,350000,0
IR-E-C-37058,PG,2021-22,198,173,,,2022-23,121,86,350000,0
IR-E-C-37058,PG,2022-23,178,173,,,2023-24,151,90,397296,0
IR-E-C-37104,UG,2018-19,540,107,2019-20,10,2021-22,110,80,256000,21
IR-E-C-37104,UG,2019-20,360,204,2020-21,2,2022-23,160,56,260000,25
IR-E-C-37104,UG,2020-21,330,68,2021-22,91,2023-24,127,98,363000,12
IR-E-C-37104,PG,2020-21,54,13,,,2021-22,5,5,200000,0
IR-E-C-37104,PG,2021-22,54,21,,,2022-23,8,7,250000,1
IR-E-C-37104,PG,2022-23,54,54,,,2023-24,54,5,420000,0
IR-E-C-36956,UG,2018-19,420,112,2019-20,5,2021-22,73,62,312000,11
IR-E-C-36956,UG,2019-20,420,111,2020-21,17,2022-23,39,32,324000,7
IR-E-C-36956,UG,2020-21,270,55,2021-22,114,2023-24,61,59,330000,2
IR-E-C-36956,PG,2020-21,12,0,,,2021-22,0,0,0,0
IR-E-C-36956,PG,2021-22,12,6,,,2022-23,3,3,384000,0
IR-E-C-36956,PG,2022-23,12,0,,,2023-24,0,0,0,0
IR-E-C-16580,UG,2016-17,480,243,2017-18,75,2019-20,52,47,200000,5
IR-E-C-16580,UG,2017-18,480,226,2018-19,61,2020-21,172,50,276000,0
IR-E-C-16580,UG,2018-19,480,245,2019-20,57,2021-22,149,35,360000,0
IR-E-C-37016,UG,2018-19,480,198,2019-20,12,2021-22,179,140,320000,7
IR-E-C-37016,UG,2019-20,480,56,2020-21,31,2022-23,56,54,395000,2
IR-E-C-37016,UG,2020-21,480,90,2021-22,30,2023-24,54,43,370000,11
IR-E-C-37016,PG,2020-21,72,15,,,2021-22,15,15,360000,0
IR-E-C-37016,PG,2021-22,72,45,,,2022-23,13,13,360000,0
IR-E-C-37016,PG,2022-23,72,36,,,2023-24,10,10,360000,0
IR-E-C-37099,UG,2018-19,720,390,2019-20,28,2021-22,364,315,214000,33
IR-E-C-37099,UG,2019-20,630,414,2020-21,35,2022-23,385,362,300000,17
IR-E-C-37099,UG,2020-21,750,680,2021-22,28,2023-24,593,575,340000,18
IR-E-C-37099,PG,2020-21,138,97,,,2021-22,85,62,208000,1
IR-E-C-37099,PG,2021-22,138,138,,,2022-23,92,82,250000,1
IR-E-C-37099,PG,2022-23,150,119,,,2023-24,87,86,350000,1
IR-E-C-37099,PG,2017-18,0,0,,,2021-22,0,0,0,0
IR-E-C-37099,PG,2018-19,0,0,,,2022-23,0,0,0,0
IR-E-C-37099,PG,2019-20,0,0,,,2023-24,0,0,0,0
IR-E-C-37063,UG,2018-19,1440,1182,2019-20,131,2021-22,1249,528,379000,169
IR-E-C-37063,UG,2019-20,1500,1158,2020-21,118,2022-23,1232,913,412000,174
IR-E-C-37063,UG,2020-21,1440,1162,2021-22,293,2023-24,1415,1144,490000,171
IR-E-C-37063,PG,2020-21,63,54,,,2021-22,54,53,450000,1
IR-E-C-37063,PG,2021-22,81,65,,,2022-23,62,57,478000,2
IR-E-C-37063,PG,2022-23,81,42,,,2023-24,42,41,510000,1
IR-E-C-36974,UG,2017-18,462,322,2018-19,39,2020-21,343,88,306000,5
IR-E-C-36974,UG,2018-19,462,297,2019-20,49,2021-22,333,147,250000,4
IR-E-C-36974,UG,2019-20,462,292,2020-21,26,2022-23,310,77,140000,11
IR-E-C-36974,PG,2019-20,48,13,,,2020-21,13,4,240000,0
