nirf_id,academic_year,library,lab_equipment_software,engineering_workshops,studios,other_capital_assets
IR-E-C-37041,2021-22,1189669,2147234,,,1133145
IR-E-C-37087,2024-25,710908,6656050,,,2507912
IR-E-C-37087,2023-24,1047275,1971313,,,1269363
IR-E-C-37087,2022-23,468802,1286587,,,48460
IR-E-C-37070,2023-24,4146600,13416136,,,11240718
IR-E-C-37070,2022-23,2177360,8284322,,,6863520
IR-E-C-37070,2021-22,1314743,7167231,,,9476254
IR-E-C-36989,2023-24,1871655,39353562,,,7359994
IR-E-C-36989,2022-23,824739,7891787,,,4341085
IR-E-C-36989,2021-22,839994,8905901,,,157670
IR-E-C-37038,2023-24,1040391,2375054,,,3000000
IR-E-C-37038,2022-23,962885,4875300,,,2548000
IR-E-C-37038,2021-22,777205,368000,,,
IR-E-C-16511,2023-24,268350,4602683,,,2278138
IR-E-C-16511,2022-23,365016,133474,,,647192
IR-E-C-16511,2021-22,157968,40907,,,220611
IR-E-C-37043,2022-23,185980,1539494,,,4695221
IR-E-C-37043,2021-22,330114,2188418,,,3754708
IR-E-C-37043,2020-21,48346,,,,1386529
IR-E-C-37090,2023-24,545253,3473279,,,7266531
IR-E-C-37090,2022-23,2563038,5777293,,,5603710
IR-E-C-37090,2021-22,3408748,3508748,,,190424
IR-E-C-37051,2023-24,896254,159066,,,1211101
IR-E-C-37051,2022-23,1145000,390000,,,452600
IR-E-C-37051,2021-22,1025000,373600,,,738500
IR-E-C-37021,2023-24,104005,348007,,,824483
IR-E-C-37021,2022-23,127492,681575,,,600785
IR-E-C-37021,2021-22,271818,111629,,,774108
IR-E-C-36985,2023-24,227441,3093878,,,1098466
IR-E-C-36985,2022-23,785507,1101423,,,
IR-E-C-36985,2021-22,230834,,,,
IR-E-C-36999,2023-24,2729926,21423919,,,103144379
IR-E-C-36999,2022-23,6114786,19624998,,,45131995
IR-E-C-36999,2021-22,4040468,6852468,,,23958864
IR-E-C-37055,2022-23,1217618,1852558,,,14191612
IR-E-C-37055,2021-22,1023751,2260730,,,22887333
IR-E-C-37055,2020-21,814632,933298,,,673626
IR-E-C-37001,2023-24,757451,2539950,,,9040500
IR-E-C-37001,2022-23,492926,4225600,,,303200
IR-E-C-37001,2021-22,225625,3193550,,,2473000
IR-E-C-25020,2023-24,194188,7222934,,,2595765
IR-E-C-25020,2022-23,199782,1952468,,,1013982
IR-E-C-25020,2021-22,553387,291815,,,739315
IR-E-C-25014,2023-24,2618126,11851965,,,5188019
IR-E-C-25014,2022-23,1707657,4286859,,,49984796
IR-E-C-25014,2021-22,475625,235396,,,3226382
IR-E-C-24999,2022-23,350000,1100000,,,500000
IR-E-C-24999,2021-22,301000,1000000,,,425000
IR-E-C-24999,2020-21,310000,9500000,,,390000
IR-E-C-49138,2023-24,200000,2010176,,,1050000
IR-E-C-49138,2022-23,575000,300000,,,240000
IR-E-C-49138,2021-22,125000,800000,,,195000
IR-E-C-49141,2024-25,24772,1500000,,,8500000
IR-E-C-49141,2023-24,,1338256,,,
IR-E-C-49141,2022-23,,1385870,,,
IR-E-C-49142,2023-24,113691,3701900,,,
IR-E-C-49142,2022-23,282076,3648335,,,
IR-E-C-49142,2021-22,93587,30147947,,,
IR-E-C-25054,2022-23,8739586,3635350,,,20856842
IR-E-C-25054,2021-22,7123937,3176400,,,18338267
IR-E-C-25054,2020-21,1410892,1126690,,,18135906
IR-E-C-25002,2023-24,385430,1193956,,,565184
IR-E-C-25002,2022-23,313872,972656,,,397870
IR-E-C-25002,2021-22,181200,165000,,,364380
