id,counselling_code,branch,year,oc,bc,bcm,mbc,sc,sca,st
171,1150,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,—,—,—,—,—,—,—
172,1150,FOOD TECHNOLOGY,2021,"136,796*",—,—,—,—,—,—
173,1150,MECHANICAL ENGINEERING,2021,—,—,—,—,—,—,—
174,1158,MARINE ENGINEERING,2021,"134,547*",—,—,—,—,—,—
175,1202,COMPUTER SCIENCE AND ENGINEERING,2021,"73,174","99,897","105,272","115,708","117,683",—,—
176,1202,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"117,466","132,008*","132,041","133,872","132,905",—,—
177,1202,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"83,527","104,026","107,847",—,"119,662","132,452",—
178,1202,INFORMATION TECHNOLOGY,2021,"69,521","99,275","134,351","81,290","106,230","115,711",—
179,1202,MECHANICAL ENGINEERING,2021,"124,219","135,868",—,—,"130,835",—,—
180,1205,CIVIL ENGINEERING,2021,"41,168*",—,—,—,—,—,—
181,1205,COMPUTER SCIENCE AND ENGINEERING,2021,"128,195*",—,—,—,—,—,—
182,1205,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,—,—,—,—,—,—,—
183,1205,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,—,—,—,—,—,—,—
184,1205,MECHANICAL ENGINEERING,2021,—,—,—,—,—,—,—
185,1207,Artificial Intelligence and Data Science,2021,"65,566","110,364","96,557",—,"120,615*","122,483*",—
186,1207,BIO MEDICAL ENGINEERING,2021,"69,064","133,758*","94,729*",—,"127,042","109,606",—
187,1207,COMPUTER SCIENCE AND ENGINEERING,2021,"81,034","116,455","122,902*","114,705*","130,504","124,949",—
188,1207,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"78,114","135,912","123,028*",—,"109,367","96,983",—
189,1207,INFORMATION TECHNOLOGY,2021,"89,671","118,561","115,338*","94,236*","117,051","135,714",—
190,1207,MECHANICAL ENGINEERING,2021,"133,482",—,—,—,"136,866*",—,—
191,1207,ROBOTICS AND AUTOMATION,2021,"113,127","133,900*",—,—,"134,981*",—,—
192,1209,CIVIL ENGINEERING,2021,—,—,—,—,—,—,—
193,1209,COMPUTER SCIENCE AND ENGINEERING,2021,"134,225*",—,—,—,—,—,—
194,1209,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"135,420*",—,—,—,—,—,—
195,1209,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"107,697*",—,—,—,—,—,—
196,1209,INFORMATION TECHNOLOGY,2021,"130,101","130,345*",—,—,—,—,—
197,1209,MECHANICAL ENGINEERING,2021,—,—,—,—,—,—,—
198,1210,Artificial Intelligence and Data Science,2021,"18,326","25,295","28,826","26,145","78,368","125,445",—
199,1210,CIVIL ENGINEERING,2021,"49,962","77,101","69,251","89,670","85,483",—,—
200,1210,COMPUTER AND COMMUNICATION ENGINEERING,2021,"20,745","28,627","42,364","32,494","87,367",—,—
201,1210,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,"23,895","30,032","42,320","30,191","86,554",—,"101,676"
202,1210,COMPUTER SCIENCE AND ENGINEERING,2021,"12,052","14,707","21,918","13,053","64,329","133,826","46,869*"
203,1210,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"36,385","46,152","57,167","41,161","121,962",—,—
204,1210,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"23,744","28,024","61,280","34,855","79,864","88,450*",—
205,1210,INFORMATION TECHNOLOGY,2021,"16,107","20,877","29,812","21,767","65,347",—,"130,007"
206,1210,MECHANICAL ENGINEERING,2021,"68,002","88,961","103,152","80,562","134,475*",—,—
