nirf_id,program_level,program_duration,academic_year,sanctioned_intake
IR-E-C-37004,UG,4 Years,2023-24,1200
IR-E-C-37004,UG,4 Years,2022-23,720
IR-E-C-37004,UG,4 Years,2021-22,720
IR-E-C-37004,UG,4 Years,2020-21,720
IR-E-C-37004,PG,2 Years,2023-24,126
IR-E-C-37004,PG,2 Years,2022-23,66
IR-E-C-36930,UG,4 Years,2023-24,1170
IR-E-C-36930,UG,4 Years,2022-23,1170
IR-E-C-36930,UG,4 Years,2021-22,990
IR-E-C-36930,UG,4 Years,2020-21,810
IR-E-C-36930,PG,2 Years,2023-24,414
IR-E-C-36930,PG,2 Years,2022-23,420
IR-E-C-36970,UG,4 Years,2021-22,540
IR-E-C-36970,UG,4 Years,2020-21,540
IR-E-C-36970,UG,4 Years,2019-20,540
IR-E-C-36970,UG,4 Years,2018-19,540
IR-E-C-36970,PG,2 Years,2021-22,225
IR-E-C-36970,PG,2 Years,2020-21,225
IR-E-C-37026,UG,4 Years,2023-24,360
IR-E-C-37026,UG,4 Years,2022-23,360
IR-E-C-37026,UG,4 Years,2021-22,360
IR-E-C-37026,UG,4 Years,2020-21,330
IR-E-C-37026,PG,2 Years,2023-24,24
IR-E-C-37026,PG,2 Years,2022-23,24
IR-E-C-37061,UG,4 Years,2023-24,480
IR-E-C-37061,UG,4 Years,2022-23,480
IR-E-C-37061,UG,4 Years,2021-22,360
IR-E-C-37061,UG,4 Years,2020-21,480
IR-E-C-37061,PG,2 Years,2023-24,54
IR-E-C-37061,PG,2 Years,2022-23,54
IR-E-C-37076,UG,4 Years,2023-24,360
IR-E-C-37076,UG,4 Years,2022-23,300
IR-E-C-37076,UG,4 Years,2021-22,300
IR-E-C-37076,UG,4 Years,2020-21,300
IR-E-C-37076,PG,2 Years,2023-24,36
IR-E-C-37076,PG,2 Years,2022-23,36
IR-E-C-37029,UG,4 Years,2023-24,360
IR-E-C-37029,UG,4 Years,2022-23,360
IR-E-C-37029,UG,4 Years,2021-22,360
IR-E-C-37029,UG,4 Years,2020-21,360
IR-E-C-37029,PG,2 Years,2023-24,108
IR-E-C-37029,PG,2 Years,2022-23,108
IR-E-C-36941,UG,4 Years,2023-24,360
IR-E-C-36941,UG,4 Years,2022-23,300
IR-E-C-36941,UG,4 Years,2021-22,240
IR-E-C-36941,UG,4 Years,2020-21,300
IR-E-C-36951,UG,4 Years,2023-24,240
IR-E-C-36951,UG,4 Years,2022-23,240
IR-E-C-36951,UG,4 Years,2021-22,240
IR-E-C-36951,UG,4 Years,2020-21,240
IR-E-C-36951,PG,2 Years,2023-24,24
IR-E-C-37058,UG,4 Years,2023-24,690
IR-E-C-37058,UG,4 Years,2022-23,621
IR-E-C-37058,UG,4 Years,2021-22,690
IR-E-C-37058,UG,4 Years,2020-21,660
IR-E-C-37058,PG,2 Years,2023-24,198
IR-E-C-37058,PG,2 Years,2022-23,178
IR-E-C-37104,UG,4 Years,2023-24,330
IR-E-C-37104,UG,4 Years,2022-23,330
IR-E-C-37104,UG,4 Years,2021-22,330
IR-E-C-37104,UG,4 Years,2020-21,330
IR-E-C-37104,PG,2 Years,2023-24,91
IR-E-C-37104,PG,2 Years,2022-23,54
IR-E-C-36956,UG,4 Years,2023-24,360
